RCDTS,School Name,District,City,County,District Type,School Type,Grades Served,% Student Enrollment -Male,% Student Enrollment - Female,% Student Enrollment - Non-binary,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Middle Eastern or North African,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Former EL,% Student Enrollment - Never EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% Student Enrollment - Youth in Care,% Student Enrollment - Migrant,% Student Enrollment - Military,% Teachers - White,% Teachers - Black or African American,% Teachers - Hispanic or Latino,% Teachers - Asian,% Teachers - Native Hawaiian or Other Pacific Islander,% Teachers - American Indian or Alaska Native,% Teachers - Two or More Races,% Teachers - MENA,% Out-of-Field Teachers,% Out-of-Field Teachers - High Poverty Schools,% Out-of-Field Teachers - Low Poverty Schools,% 9th Grade on Track - White,% 9th Grade on Track - Black or African American,% 9th Grade on Track - Hispanic or Latino,% 9th Grade on Track - Asian,% 9th Grade on Track - Native Hawaiian or Other Pacific Islander,% 9th Grade on Track - American Indian or Alaska Native,% 9th Grade on Track - Two or More Races,% 9th Grade on Track - MENA,% 9th Grade on Track - Children with Disabilities,% 9th Grade on Track - IEP,% 9th Grade on Track - EL,% 4-year Institution Remediation - ELA,% CRDC School Related Arrests,% Students Assessed for Giftedness  - White,% Students Assessed for Giftedness  - Black or African American,% Students Assessed for Giftedness  - Hispanic or Latino,% Students Assessed for Giftedness  - Asian,% Students Assessed for Giftedness  - Native Hawaiian or Other Pacific Islander,% Students Assessed for Giftedness  - American Indian or Alaska Native,% Students Assessed for Giftedness  - Two or More Race,% Students Assessed for Giftedness  - MENA,% Students Assessed for Giftedness  - IEP,% Students Assessed for Giftedness  - EL,% Students Identified as Gifted  - White,% Students Identified as Gifted  - Black or African American,% Students Identified as Gifted  - Hispanic or Latino,% Students Identified as Gifted  - Asian,% Students Identified as Gifted  - Native Hawaiian or Other Pacific Islander,% Students Identified as Gifted  - American Indian or Alaska Native,% Students Identified as Gifted  - Two or More Race,% Students Identified as Gifted  - MENA,% Students Identified as Gifted  - IEP,% Students Identified as Gifted  - EL,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - White,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Black or African American,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Hispanic or Latino,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Asian,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Native Hawaiian or Other Pacific Islander,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - American Indian or Alaska Native,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Two or More Race,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - MENA,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - IEP,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - EL,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - White,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Black or African American,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Hispanic or Latino,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Asian,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Native Hawaiian or Other Pacific Islander,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - American Indian or Alaska Native,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Two or More Race,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - MENA,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - IEP,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - EL
15-016-2990-25-084C,North Lawndale Prep Chtr - Christiana,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,42.2,57.8,,,96.8,,,,,,,27.1,27.1,,,99.2,99.2,20.7,,,,42.9,42.9,14.3,,,,,,,,,,82.1,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-046C,North Lawndale Prep Chtr-Collins,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,48.5,51.5,,,95.9,,,,,,,16.5,16.5,,,98.9,94.7,24.8,,,,29.6,70.4,,,,,,,,,,,89.7,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0825,North-Grand High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,44.9,55.1,,,19.6,78.1,,,,,,20.4,17.9,45.1,20.3,34.6,88.2,5.8,,,,45.8,2.5,41.4,6.4,,,2.6,,9.2,,,,80.0,80.8,,,,,,69.8,66.7,82.9,,0.0,,,3.8,,,,,,,2.6,,,3.8,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0794,Northside College Preparatory Hs,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,,50.2,,35.1,6.0,28.3,23.4,,,6.2,,12.4,12.3,5.1,29.2,65.7,36.2,,,,,68.7,5.6,8.6,10.0,,,4.3,,0.2,,,98.9,100.0,96.6,100.0,,,94.1,,94.1,94.1,100.0,,0.0,58.8,29.2,22.1,48.4,,,47.8,,16.0,,58.8,29.2,22.1,48.4,,,47.8,,16.0,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0855,Ogden Int High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,49.3,50.7,,11.5,47.4,38.0,,,,,,9.4,9.4,17.8,14.1,68.1,65.6,9.2,,,,72.0,7.9,11.7,4.5,,1.0,1.0,,13.0,,,100.0,95.9,97.9,,,,,,100.0,100.0,95.7,,0.0,,4.5,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0847,Orr Academy High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,50.0,50.0,,,48.7,48.0,,,,,,19.2,17.2,,,56.0,88.4,20.5,,,,34.8,35.9,20.1,9.1,,,,,40.1,,,,85.7,69.4,,,,,,,,72.7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0796,Payton College Preparatory HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,51.8,,,31.9,9.3,26.1,27.7,,,4.6,,9.0,9.0,3.4,24.7,71.9,33.0,,,,,56.7,7.8,14.0,10.2,,,7.7,,5.2,,,98.8,94.3,97.3,98.8,,,100.0,,92.0,92.0,94.4,,0.0,63.4,24.4,30.7,65.7,,,63.2,,15.3,,63.4,24.4,30.7,65.7,,,63.2,,15.3,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-053C,Perspectives Chtr -  IIT Campus,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,6 - 12,46.5,53.5,,,96.7,,,,,,,14.6,14.3,,,99.2,93.0,4.5,,,,,,,,,,,,,,,,84.5,,,,,,,84.6,84.6,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-052C,Perspectives Chtr - High School of Technology,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,51.3,48.7,,,97.4,,,,,,,15.4,15.4,,,99.3,94.8,,,,,,,,,,,,,,,,,87.5,,,,,,,93.8,93.8,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-050C,Perspectives Chtr - Joslin Campus,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,6 - 12,50.5,49.5,,,95.4,,,,,,,19.9,19.9,,,98.4,92.8,,,,,,,,,,,,,,,,,82.1,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-051C,Perspectives Chtr - Leadership Acad,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,6 - 12,42.6,57.4,,,98.6,,,,,,,13.2,13.2,,,,94.4,2.4,1.5,,,,,,,,,,,,,,,82.7,,,,,,,92.9,92.9,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0034,Phillips Academy High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,54.7,45.3,,,91.9,4.8,,,,2.5,,22.2,19.4,,,96.5,70.0,,,,,31.3,45.4,6.7,,,3.2,10.1,,39.5,,,,67.9,,,,,,,68.2,63.2,,,0.0,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0803,Phoenix Military Academy HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,60.7,39.3,,2.7,15.3,80.3,,,,,,7.9,7.9,28.1,36.1,35.8,87.4,,,,,42.3,3.3,43.2,3.7,,,,,11.4,,,,94.1,98.7,,,,,,90.9,90.9,100.0,,0.0,,,3.7,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0534,Prosser Career Academy HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,50.1,49.9,,1.1,22.4,75.6,,,,,,15.5,15.5,33.0,27.0,40.0,89.1,2.4,,,,60.6,3.5,31.5,1.8,,,,,5.7,,,,91.2,83.8,,,,,,92.0,92.0,80.5,,0.0,,,1.5,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0826,Raby High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,56.8,43.2,,,87.4,10.8,,,,,,55.9,55.9,9.9,,90.1,98.2,11.7,,,,48.2,19.6,23.9,4.1,,4.2,,,2.1,,,,100.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0536,Richards Career Academy HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,57.6,42.4,,,28.0,65.8,,,,5.3,,20.4,19.1,54.6,8.2,37.2,98.0,26.6,,,,26.4,21.8,41.6,6.8,,,,,27.1,,,,70.0,77.3,,,,,,,,80.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0828,Rickover Naval Academy High Schl,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,53.4,46.6,,15.5,2.3,78.4,,,,,,13.7,13.5,29.0,26.0,45.0,64.5,,,,,71.8,3.1,15.6,6.4,,,3.1,,3.0,,,92.9,,98.3,,,,,,92.9,92.9,96.2,,0.0,,,4.2,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0035,Roosevelt High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,48.6,51.4,,3.8,5.4,80.6,7.8,,,2.0,,20.7,15.6,67.6,15.7,16.7,88.0,7.5,,,,57.3,2.3,27.8,4.4,,0.2,2.4,,19.4,,,,,72.2,86.7,,,,,75.0,75.8,72.1,,0.0,,,1.1,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0835,School of Social Justice HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,48.8,51.2,,,17.7,81.5,,,,,,13.4,13.4,48.4,22.0,29.5,93.7,13.4,,,,44.9,19.4,35.7,,,,,,21.2,,,,,85.0,,,,,,,,79.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0036,Schurz High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,52.0,48.0,,4.8,7.7,83.6,1.9,,,1.0,,24.8,21.3,54.2,18.1,27.7,89.8,5.0,,,,60.1,3.4,26.3,6.8,,,1.1,,25.4,,,,76.9,70.6,,,,,,80.9,79.5,73.6,,0.0,,,1.3,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0037,Senn High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,,54.0,,18.0,23.5,40.1,14.6,,,3.1,,17.5,12.8,34.4,22.7,42.9,73.5,3.7,,,,72.8,5.1,13.1,4.0,,,1.0,,15.5,,,85.1,88.1,76.8,92.6,,,100.0,,78.3,77.4,78.2,,0.0,14.8,,2.1,,,,,,,,14.8,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0537,Simeon Career Academy High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,49.2,50.8,,,97.5,1.6,,,,,,15.1,15.0,,,98.9,70.4,6.2,1.1,,,31.5,63.6,3.6,,,,,,9.7,,,,78.5,,,,,,,86.8,86.8,,,0.0,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0859,Solorio Academy High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,55.9,44.1,,1.0,1.0,97.1,,,,,,16.0,10.7,36.9,36.2,26.9,90.4,1.0,,,,43.9,7.5,35.2,7.4,,,2.2,,13.7,,,,,86.8,,,,,,78.6,86.2,82.6,,0.0,,,2.3,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0860,South Shore Intl Col Prep HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,39.1,60.9,,,95.5,3.5,,,,,,12.0,12.0,2.4,2.4,95.3,72.7,4.9,,,,21.5,57.0,14.3,2.4,,,2.4,,13.4,,,,91.0,,,,,,,84.6,84.6,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0818,Spry Community Links High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,64.6,35.4,,,,96.3,,,,,,18.3,18.3,80.5,,,80.5,,,,,68.8,6.8,17.8,6.6,,,,,11.2,,,,,55.0,,,,,,,,55.6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0041,Steinmetz College Prep HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,47.7,52.3,,7.4,16.6,74.6,,,,,,20.1,16.0,49.4,16.8,33.8,87.5,7.9,,,,52.3,7.9,32.4,3.6,,2.5,,,29.1,,,,66.7,77.3,,,,,,73.3,77.8,78.1,,0.0,,,1.8,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0042,Sullivan High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,51.5,48.5,,15.9,29.7,37.6,11.3,,,5.1,,22.1,19.1,66.1,9.0,24.9,77.5,39.0,,,,68.2,7.0,16.7,3.5,,1.3,1.8,,14.9,,,88.9,82.2,72.0,91.3,,,,,75.0,76.9,80.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0043,Taft High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,7 - 12,50.4,,,39.7,2.8,44.9,7.6,0.6,,4.2,,19.1,11.2,23.8,22.8,53.4,49.8,1.7,,,,71.4,1.5,16.0,7.5,,,1.1,,11.4,,,93.0,79.2,84.8,89.7,,,91.2,,85.9,82.3,85.3,,0.0,9.9,,3.2,14.5,,,8.8,,,,9.8,,3.2,14.5,,,8.8,,,,0.6,,,,,,,,,,0.6,,,,,,,,,
15-016-2990-25-0022,Thomas Kelly College Preparatory,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,50.8,49.2,,1.4,1.9,86.3,10.2,,,,,20.8,16.4,53.1,27.9,19.1,94.1,4.6,,,,44.0,6.6,42.9,4.2,,,0.8,,8.4,,,,,79.1,94.9,,,,,77.1,77.2,77.4,,0.0,,,1.4,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0044,Tilden Career Communty Academy HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,54.9,45.1,,7.3,32.9,57.3,,,,,,31.7,28.5,46.7,4.9,48.4,86.6,34.1,,,,42.0,17.7,29.4,3.7,,,3.7,,36.2,,,,,56.4,,,,,,,,54.5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0829,Uplift Community High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,55.2,44.8,,,59.7,32.1,,,,,,33.5,33.5,,,66.5,71.9,19.0,,,,64.1,7.7,20.1,,,4.1,4.0,,6.8,,,,54.7,,,,,,,70.8,70.8,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-013C,Urban Prep Chtr Acad Bronzeville HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,,,,,94.4,,,,,,,21.7,21.7,,,,81.8,19.6,,,,,100.0,,,,,,,,,,,95.5,,,,,,,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-010C,Urban Prep Chtr Acad Englewood HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,100.0,,,,92.8,,,,,,,30.1,30.1,,,91.6,91.6,,,,,10.0,80.0,10.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0046,Von Steuben Metro Science HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,51.4,48.6,,17.9,8.5,55.2,15.5,0.8,,1.9,,7.3,7.2,16.0,39.8,44.2,60.8,,,,,53.7,4.1,29.4,6.1,,,1.9,,4.5,,,95.5,83.3,87.7,97.5,,,,,76.7,76.7,77.6,,0.0,12.3,,2.6,10.0,,,,,,,12.3,,2.6,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0863,Walter Henri Dyett High School for the Arts,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,49.4,50.6,,,96.7,2.5,,,,,,17.5,16.5,,,97.3,83.3,7.1,,,,9.6,68.2,15.9,3.2,,,,,41.3,,,,77.5,,,,,,,81.3,78.6,,,0.0,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0048,Washington G High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,53.4,46.6,,3.4,6.8,89.2,,,,,,21.6,16.1,34.9,22.5,42.6,81.1,2.7,,,,44.6,9.7,37.1,3.5,,,2.0,,12.6,,,91.7,77.3,89.5,,,,,,79.2,78.2,88.1,,0.0,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0049,Wells Community Academy HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,49.6,50.4,,8.9,38.2,50.4,,,,,,18.7,17.0,42.1,5.3,52.6,78.3,32.9,,,,61.7,8.8,26.6,,,,,,27.5,,,,76.7,70.0,,,,,,,,70.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0857,Westinghouse High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,43.3,56.7,,2.7,46.9,42.4,6.3,,,1.3,,8.6,8.6,9.0,25.1,65.9,59.9,3.8,,,,49.7,19.8,20.3,6.5,,,1.2,,5.9,,,83.3,85.2,90.5,100.0,,,,,69.2,69.2,84.1,,0.0,,2.8,3.5,14.5,,,,,,,,2.8,3.5,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0856,Williams Medical Prep High Sch,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,25.0,75.0,,,95.8,,,,,,,13.9,13.9,,,94.4,75.0,,,,,39.4,37.6,5.9,,,,10.5,,0.0,,,,100.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0830,World Language High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,45.8,54.2,,,,95.2,,,,,,19.8,19.8,57.7,28.6,13.8,93.4,8.2,,,,39.1,12.4,40.0,2.9,,3.1,,,24.4,,,,,65.3,,,,,,57.9,57.9,60.6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-073C,YCCS Chtr - Chatham,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,49.0,51.0,,,95.1,,,,,,,19.6,19.6,,,,98.0,23.5,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-071C,YCCS West,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,53.2,46.8,,,82.3,,,,,,,17.7,17.7,,,91.1,97.5,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-055C,YCCS- McKinley-Lakeside Leadership Academy,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,39.6,60.4,,,96.9,,,,,,,17.7,17.7,,,,95.8,16.7,,,,20.0,80.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-062C,YCCS-Albizu Campos Puerto Rican HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,55.0,45.0,,,16.1,81.1,,,,,,7.8,7.8,51.7,8.3,40.0,92.2,16.7,,,,75.0,12.5,12.5,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-056C,YCCS-ASPIRA Pantoja Alt HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,57.7,42.3,,,,92.9,,,,,,9.7,9.7,60.2,14.3,25.5,95.4,17.9,,,,90.0,10.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-057C,YCCS-Association House,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,46.5,53.5,,,35.6,62.4,,,,,,16.8,16.8,20.8,11.9,67.3,92.1,11.9,,,,50.0,,50.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-059C,YCCS-CCA Academy HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,47.5,52.5,,,,,,,,,,20.5,20.5,,,95.9,99.2,32.8,,,,85.7,,,14.3,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-061C,YCCS-Community Youth Dev Inst HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,47.6,52.4,,,96.3,,,,,,,18.3,18.3,,,,87.8,15.9,,,,,20.0,,60.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-063C,YCCS-Innovations of Arts Integr HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,48.0,52.0,,,88.0,9.9,,,,,,12.3,12.3,,,94.5,89.0,8.4,,,,40.0,60.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-065C,YCCS-Latino Youth Alternative HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,49.7,50.3,,,,94.6,,,,,,14.4,14.4,47.9,24.0,28.1,93.4,26.3,,,,44.4,11.1,33.3,,,11.1,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-066C,YCCS-Olive Harvey Mid College HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,56.5,43.5,,,86.3,13.7,,,,,,13.7,13.7,,,88.7,89.5,11.3,,,,16.7,66.7,16.7,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-060C,YCCS-Progressive Leadership Academy,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,40.7,59.3,,,,,,,,,,13.6,13.6,,,100.0,83.9,29.7,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-054C,YCCS-Scholastic Achievement HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,48.3,51.7,,,90.5,,,,,,,15.5,15.5,,,94.8,94.0,,,,,57.1,28.6,14.3,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-067C,YCCS-Sullivan House Alt HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,52.6,47.4,,,90.5,,,,,,,10.6,10.6,,,96.0,98.5,20.8,3.6,,,62.5,37.5,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-068C,YCCS-Truman Middle College HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,59.7,40.3,,8.8,22.7,50.8,15.5,,,,,11.6,11.6,42.0,18.8,39.2,80.1,22.1,,,,76.9,7.7,,15.4,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-070C,YCCS-West Town Academy Alt HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,59.6,40.4,,,76.3,21.1,,,,,,13.2,13.2,,,86.8,87.7,20.2,,,,40.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-072C,YCCS-Youth Connection Leadership Academy,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,59.6,40.4,,,75.8,,,,,,,12.1,12.1,,,84.8,84.8,25.3,,,,40.0,40.0,20.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-016-2990-25-0764,Young Magnet High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,7 - 12,,50.3,,24.0,18.5,27.6,24.8,,,4.0,,8.9,8.9,3.5,21.2,75.2,33.0,0.5,,,,56.8,19.1,8.5,10.8,,,2.4,,9.5,,,98.3,95.9,95.6,100.0,,,100.0,,94.1,94.1,94.4,,0.0,51.9,27.3,30.3,62.3,,,47.7,,,,51.9,27.3,30.3,62.3,,,47.7,,,,20.4,7.8,8.7,32.1,,,22.7,,,,20.4,7.8,8.7,32.1,,,22.7,,,
