school_name,school_id,year,x_enrollment,n_black,n_white,n_hispanic,n_low_income,county_enrollment,county_n_black,county_n_white,county_n_hispanic,county_n_low_income,pct_black_school,pct_white_school,pct_hispanic_school,pct_low_income_school,pct_black_county,pct_white_county,pct_hispanic_county,pct_low_income_county,seg_black,seg_white,seg_hispanic,seg_low_income,rr_black,rr_white,rr_hispanic,rr_low_income
Evanston Twp High School         ,05-016-2020-17-0001,2016,3322.0,1010,1438,581,1325,202153.0,53396,60264,72076,118333,0.3040337146297411,0.4328717639975918,0.174894641782059,0.39885611077664057,0.264136569825825,0.2981108368414023,0.35654182722987043,0.5853635612630038,0.039897144803916096,0.13476092715618948,0.18164718544781144,0.18650745048636325,1.1510474101720363,1.4520497429212327,0.4905305028049361,0.6813818576545022
Evanston Twp High School         ,05-016-2020-17-0001,2017,3285.0,966,1449,591,1330,214388.0,58760,58066,79985,127304,0.29406392694063926,0.4410958904109589,0.17990867579908676,0.4048706240487062,0.27408250461779576,0.27084538313711587,0.37308524730861803,0.5938018918969346,0.0199814223228435,0.17025050727384305,0.19317657150953127,0.18893126784822833,1.0729029470549656,1.6285892906937738,0.4822186808428407,0.6818277771990984
Evanston Twp High School,05-016-2020-17-0001,2018,3459.0,955,1570,636,1328,214766.0,57263,56658,82313,126859,0.2760913558832032,0.45388840705406186,0.18386816999132696,0.38392599017056955,0.2666297272380172,0.26381270778428617,0.38326830131398826,0.5906847452576293,0.009461628645186015,0.1900756992697757,0.1994001313226613,0.2067587550870597,1.0354860230447587,1.720494857378881,0.47973748249191894,0.6499676743863071
Evanston Twp High School,05-016-2020-17-0001,2019,3514.0,959,1606,647,1283,213394.0,55511,55637,82711,121341,0.2729083665338645,0.4570290267501423,0.18412066021627774,0.365110984632897,0.26013383694012016,0.26072429402888553,0.38759758943550426,0.5686242349831767,0.012774529593744366,0.19630473272125676,0.20347692921922653,0.20351325035027973,1.049107527663481,1.7529207565885987,0.47503045745054917,0.642095363106884
Evanston Twp High School,05-016-2020-17-0001,2020,3597.0,935,1647,673,1248,213127.0,54361,56586,83401,121674,0.2599388379204893,0.4578815679733111,0.18710036141228803,0.3469557964970809,0.2550638820984671,0.26550366682776,0.39132066795854115,0.5708990414166202,0.004874955822022187,0.1923779011455511,0.20422030654625312,0.22394324491953926,1.019112685739411,1.724577191132928,0.47812542687397885,0.6077358189920061
Evanston Twp High School,05-016-2020-17-0001,2021,3621.0,909,1651,702,1177,214047.0,54702,55045,84985,119674,0.2510356255178128,0.455951394642364,0.19386909693454846,0.32504832919083126,0.25556069461379977,0.2571631464117694,0.39703896807710454,0.5591015057440656,0.004525069095986989,0.1987882482305946,0.20316987114255608,0.23405317655323432,0.9822935639503358,1.7730044176403683,0.48828732825262455,0.5813762364282121
Evanston Twp High School,05-016-2020-17-0001,2022,3636.0,902,1640,724,1153,214727.0,54973,53880,86275,119290,0.2480748074807481,0.45104510451045104,0.19911991199119913,0.3171067106710671,0.2560134496360495,0.2509232653555445,0.40178924867389754,0.5555426192327932,0.007938642155301406,0.20012183915490656,0.2026693366826984,0.23843590856172614,0.9689913082043657,1.7975419850819527,0.49558297701691356,0.5708053706284368
Evanston Twp High School,05-016-2020-17-0001,2023,3579.0,837,1611,727,1267,211933.0,53373,52636,86325,118949,0.2338642078792959,0.4501257334450964,0.2031293657446214,0.3540094998602962,0.2518390245973963,0.24836151047736785,0.4073221253886842,0.5612575672500272,0.017974816718100417,0.20176422296772853,0.20419275964406278,0.207248067389731,0.9286257689933641,1.8123812042370167,0.49869465242229766,0.6307433886278333
Evanston Twp High School,05-016-2020-17-0001,2024,3483.0,832,1546,704,1289,210612.0,52648,51800,86482,117471,0.23887453344817686,0.4438702268159633,0.20212460522538042,0.37008326155612975,0.24997625966231743,0.24594989839135473,0.4106223766926861,0.5577602415816763,0.011101726214140573,0.19792032842460855,0.20849777146730566,0.1876769800255465,0.9555888778032865,1.8047180735552828,0.49223962623121365,0.6635167478174153
Evanston Twp High School,05-016-2020-17-0001,2025,3457.0,792,1518,716,1203,208640.0,50846,49298,86055,116033,0.22910037604859704,0.4391090540931443,0.20711599652878218,0.34798958634654326,0.24370207055214724,0.23628259202453988,0.4124568634969325,0.5561397622699387,0.0146016945035502,0.20282646206860444,0.20534086696815032,0.2081501759233954,0.940083830759141,1.8584062851635692,0.5021518972257871,0.6257232623076434
