school_id,school_name,district,county,school_type,grades_served,year,y_chronic_abs,y_grad_4yr,x_ap_coursework,x_attendance_rate,x_dropout_rate,x_enrollment,x_mobility_rate,x_pct_asian,x_pct_black,x_pct_el,x_pct_hispanic,x_pct_homeless,x_pct_iep,x_pct_low_income,x_pct_white,x_suspension_rate,x_teacher_attendance,x_teacher_retention,y_ela_prof,y_math_prof
07-016-2280-16-0003,Hillcrest High School            ,Bremen CHSD 228                  ,Cook       ,High School,9 - 12,2017,5.1,77.3,,91.7,2.5,1110.0,12.5,0.2,89.0,0.9,4.8,1.7,15.0,56.1,0.8,,77.1,89.2,15.4,8.4
07-016-2280-16-0004,Oak Forest High School           ,Bremen CHSD 228                  ,Cook       ,High School,9 - 12,2017,0.4,93.2,,94.1,0.5,1324.0,5.4,3.8,8.9,4.2,20.2,1.9,12.6,28.9,61.3,,80.6,93.7,39.8,33.7
07-016-2290-16-0001,Oak Lawn Comm High School        ,Oak Lawn CHSD 229                ,Cook       ,High School,9 - 12,2017,1.2,91.7,,93.9,0.6,1724.0,4.5,1.2,6.6,5.3,26.7,1.5,11.9,38.5,64.4,,90.8,92.8,25.1,28.2
07-016-2300-13-0001,Carl Sandburg High School        ,Cons HSD 230                     ,Cook       ,High School,9 - 12,2017,6.1,94.1,,94.2,0.4,3001.0,2.4,6.1,4.8,2.9,9.7,0.5,10.2,11.9,77.0,,84.7,95.4,47.9,47.3
07-016-2300-13-0002,Amos Alonzo Stagg High School    ,Cons HSD 230                     ,Cook       ,High School,9 - 12,2017,6.2,93.6,,93.6,0.5,2286.0,4.3,3.1,4.3,6.5,15.7,1.2,12.4,28.3,75.3,,82.5,92.9,38.4,37.4
07-016-2300-13-0003,Victor J Andrew High School      ,Cons HSD 230                     ,Cook       ,High School,9 - 12,2017,4.9,93.6,,94.3,0.5,2137.0,2.7,5.1,4.6,1.7,11.4,0.6,12.2,17.7,77.6,,83.9,97.1,41.9,41.9
07-016-2310-16-0001,Evergreen Park High School       ,Evergreen Park CHSD 231          ,Cook       ,High School,9 - 12,2017,3.9,91.0,,94.8,0.6,855.0,4.8,1.1,32.6,1.4,16.0,0.9,11.3,22.3,47.0,,87.5,88.8,37.7,41.7
07-016-2330-16-0001,Homewood-Flossmoor High School   ,Homewood Flossmoor CHSD 233      ,Cook       ,High School,9 - 12,2017,0.5,97.2,,90.8,0.3,2723.0,4.6,0.8,68.6,0.3,7.5,1.9,11.8,22.7,18.6,,83.7,90.4,40.7,30.8
07-016-9010-25-001C,Southland College Prep Chtr HS   ,Southland College Prep Chtr HS   ,Cook       ,High School,9 - 12,2017,0.0,99.1,,95.6,0.0,522.0,3.6,0.2,94.3,0.4,2.3,0.4,10.2,55.7,1.5,,74.4,83.6,41.1,24.4
15-016-2990-25-0001,Amundsen High School             ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,37.1,95.7,,91.3,0.2,1165.0,7.7,15.0,12.4,9.1,58.8,0.6,6.0,86.2,11.2,,70.5,89.5,16.2,16.9
15-016-2990-25-0003,Bogan High School                ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,61.6,88.9,,87.5,1.3,769.0,17.5,0.1,49.4,10.4,48.9,2.1,14.2,94.0,0.9,,57.9,74.7,4.4,2.2
15-016-2990-25-0006,Carver Military Academy HS       ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,47.7,99.1,,92.9,0.0,500.0,4.0,0.0,41.4,3.6,57.4,2.4,2.6,92.6,0.8,,46.9,90.5,18.3,15.7
15-016-2990-25-0011,Farragut Career Academy HS       ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,43.4,83.5,,85.8,2.2,830.0,17.0,0.0,11.7,28.1,87.6,1.7,14.5,98.8,0.5,,41.6,83.0,4.5,3.5
15-016-2990-25-0012,Fenger Academy High School       ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,58.6,100.0,,86.3,0.4,226.0,33.0,0.0,99.1,0.4,0.4,60.2,16.8,98.2,0.0,,44.8,78.6,6.8,6.8
15-016-2990-25-0013,Foreman High School              ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,74.3,88.0,,85.0,8.5,838.0,26.0,1.1,19.9,26.1,74.9,1.9,9.5,95.7,3.3,,52.7,85.2,2.7,4.3
15-016-2990-25-0014,Back of The Yards IB HS          ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,31.8,98.8,,94.1,0.0,1042.0,2.2,5.6,3.3,8.6,89.4,0.7,3.6,96.5,1.5,,79.3,95.2,27.6,31.8
15-016-2990-25-0015,Gage Park High School            ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,48.3,91.8,,91.5,0.0,303.0,20.2,0.0,39.6,23.8,59.1,27.4,11.9,97.4,0.7,,69.4,75.7,1.4,2.8
15-016-2990-25-0016,Harlan Community Academy HS      ,City of Chicago SD 299           ,Cook       ,High School,7 - 12,2017,75.9,95.7,,82.3,1.9,474.0,22.8,0.0,99.2,0.0,0.4,23.4,16.0,94.5,0.2,,47.6,78.5,8.6,2.2
15-016-2990-25-0017,Harper High School               ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,99.6,89.5,,81.0,0.0,165.0,24.3,0.0,95.2,0.6,3.6,12.7,18.8,99.4,0.0,,67.3,70.3,2.9,2.9
15-016-2990-25-0019,Hirsch Metropolitan High School  ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,95.5,87.9,,80.2,4.1,145.0,49.5,0.0,97.2,0.0,2.1,54.5,29.0,100.0,0.7,,27.5,68.8,0.0,0.0
15-016-2990-25-0020,Hubbard High School              ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,47.0,97.4,,89.8,1.1,1755.0,9.2,0.2,7.3,15.0,89.6,2.6,6.3,96.9,2.3,,71.1,89.7,16.7,13.8
15-016-2990-25-0021,Hyde Park Academy High School    ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,85.3,94.9,,86.3,0.0,719.0,18.9,0.1,98.2,0.4,0.8,8.8,14.2,98.6,0.0,,48.5,88.7,5.1,3.6
15-016-2990-25-0022,Kelly High School                ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,50.5,91.9,,89.1,2.7,2014.0,19.9,13.3,3.5,24.0,81.2,2.3,9.5,95.7,1.5,,51.0,88.6,12.5,16.3
15-016-2990-25-0023,Kelvyn Park High School          ,City of Chicago SD 299           ,Cook       ,High School,7 - 12,2017,77.7,73.5,,84.6,3.9,513.0,24.7,0.2,7.0,31.4,90.4,3.5,12.3,96.9,1.6,,65.9,81.3,5.8,4.6
15-016-2990-25-0024,Kennedy High School              ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,36.9,87.8,,87.9,1.8,1647.0,7.9,0.8,3.6,8.3,70.7,0.2,8.9,72.9,23.4,,61.4,94.8,28.0,20.4
15-016-2990-25-0025,Kenwood Academy High School      ,City of Chicago SD 299           ,Cook       ,High School,7 - 12,2017,25.8,96.2,,92.9,0.0,1776.0,4.6,3.3,84.7,0.8,4.6,1.7,3.5,62.2,4.1,,66.4,87.3,46.6,43.2
15-016-2990-25-0026,Lake View High School            ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,40.3,92.0,,89.4,0.8,1297.0,5.7,3.2,10.6,5.3,70.5,4.0,7.1,81.7,12.9,,75.5,86.2,19.9,18.7
15-016-2990-25-0027,Lane Technical High School       ,City of Chicago SD 299           ,Cook       ,High School,7 - 12,2017,9.2,97.5,,94.4,0.0,4195.0,1.2,10.9,8.2,0.7,41.0,0.5,1.9,50.9,36.8,,72.4,92.4,87.0,88.5
15-016-2990-25-0029,Marshall Metropolitan High School,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,91.6,,79.0,2.5,358.0,29.4,0.0,97.8,0.3,1.7,23.2,22.9,99.4,0.0,,61.2,81.3,4.4,1.1
15-016-2990-25-0030,Mather High School               ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,56.7,93.6,,90.3,0.2,1472.0,14.2,30.4,11.9,25.3,35.0,1.2,6.0,86.4,20.2,,67.2,95.2,14.9,20.3
15-016-2990-25-0031,Morgan Park High School          ,City of Chicago SD 299           ,Cook       ,High School,7 - 12,2017,74.7,85.3,,86.1,0.4,1408.0,9.6,0.1,97.3,0.2,1.3,3.2,6.4,87.9,0.4,,55.9,89.1,21.7,9.6
15-016-2990-25-0034,Phillips Academy High School     ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,98.9,,80.4,0.0,528.0,23.9,0.2,98.5,0.9,0.9,13.6,16.9,97.5,0.2,,49.5,82.7,9.4,2.2
15-016-2990-25-0035,Roosevelt High School            ,City of Chicago SD 299           ,Cook       ,High School,7 - 12,2017,66.0,80.5,,86.9,2.3,1191.0,17.5,7.1,14.6,27.5,70.4,1.6,11.3,96.1,5.5,,62.1,84.6,13.2,10.8
15-016-2990-25-0036,Schurz High School               ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,75.7,91.2,,82.3,1.5,1793.0,13.6,1.5,11.2,18.6,79.6,4.1,8.8,92.5,5.9,,67.3,89.3,9.1,7.7
15-016-2990-25-0037,Senn High School                 ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,62.6,89.6,,88.2,1.1,1415.0,12.4,16.0,26.4,15.3,43.9,1.9,6.1,82.4,10.6,,70.1,87.5,30.4,25.1
15-016-2990-25-0039,King College Prep High School    ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,38.1,97.7,,91.3,0.0,638.0,5.0,0.9,93.7,2.5,3.9,7.2,6.4,80.1,0.6,,52.9,87.4,49.0,30.6
15-016-2990-25-0041,Steinmetz College Prep HS        ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,71.5,91.9,,86.6,0.1,1351.0,16.0,2.4,14.2,17.5,73.4,4.2,10.5,91.1,8.2,,54.5,91.9,15.3,11.4
15-016-2990-25-0042,Sullivan High School             ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,80.2,75.0,,86.5,3.0,608.0,19.3,14.5,39.3,37.5,38.0,11.0,15.3,95.4,5.9,,73.3,81.4,4.3,5.1
15-016-2990-25-0043,Taft High School                 ,City of Chicago SD 299           ,Cook       ,High School,7 - 12,2017,45.5,94.4,,89.3,0.6,3267.0,5.8,7.3,2.6,6.9,40.1,0.6,5.7,57.1,47.3,,55.9,94.6,40.4,34.0
15-016-2990-25-0044,Tilden Career Communty Academy HS,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,86.3,75.8,,80.7,2.9,272.0,19.8,1.8,59.9,5.1,26.8,27.9,23.5,95.2,9.2,,53.2,74.6,4.3,1.4
15-016-2990-25-0046,Von Steuben Metro Science HS     ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,31.0,97.4,,92.8,0.0,1734.0,3.2,13.6,10.3,2.2,56.7,0.7,3.0,75.4,17.0,,62.6,94.6,40.7,34.7
15-016-2990-25-0047,Lincoln Park High School         ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,30.6,92.8,,90.2,0.2,2133.0,3.9,12.1,20.8,2.5,35.5,1.6,3.2,54.6,27.7,,60.7,91.0,60.9,55.0
15-016-2990-25-0048,Washington G High School         ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,48.0,88.8,,87.9,2.2,1418.0,11.1,0.2,5.8,10.3,87.4,1.5,7.8,90.9,5.6,,55.6,87.6,16.4,6.6
15-016-2990-25-0049,Wells Community Academy HS       ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,31.0,96.4,,88.7,1.3,377.0,15.9,0.0,52.8,10.6,43.8,7.2,17.2,93.1,2.7,,69.4,80.0,3.0,2.0
15-016-2990-25-0052,Crane Medical Prep HS            ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,64.8,98.3,,90.5,0.5,585.0,12.5,1.4,72.3,1.0,25.0,6.5,2.1,88.9,0.7,,78.5,78.9,21.4,15.3
15-016-2990-25-0053,Disney II Magnet HS              ,City of Chicago SD 299           ,Cook       ,High School,7 - 12,2017,51.7,93.8,,89.2,0.4,729.0,5.6,3.7,19.8,2.1,51.7,4.7,7.1,61.2,21.8,,100.0,79.0,27.4,20.4
15-016-2990-25-007C,Young Womens Leadership Chartr HS,City of Chicago SD 299           ,Cook       ,High School,8 - 12,2017,50.5,98.0,,92.1,0.0,248.0,12.5,0.0,92.7,0.0,6.0,12.9,19.4,92.7,0.8,,0.0,36.6,9.3,7.0
15-016-2990-25-009C,Ace Technical Charter High School,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,69.0,69.3,,85.4,0.3,376.0,21.1,0.0,81.6,6.4,16.2,30.6,10.9,97.9,1.6,,100.0,34.2,5.1,5.1
15-016-2990-25-010C,Urban Prep Chtr Acad Englewood HS,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,67.2,89.6,,91.4,1.5,324.0,13.2,0.0,98.8,0.3,0.9,7.1,17.3,88.0,0.0,,100.0,41.7,7.3,6.1
15-016-2990-25-012C,IHSCA Charter High School        ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,52.9,94.4,,89.6,1.6,756.0,8.8,0.0,3.3,20.2,95.8,2.9,8.6,98.3,0.7,,100.0,43.1,5.0,9.9
15-016-2990-25-013C,Urban Prep Chtr  Bronzeville HS  ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,55.2,86.2,,91.9,0.5,365.0,11.8,0.0,97.5,0.0,1.6,1.9,11.0,80.8,0.0,,100.0,42.9,14.3,4.4
15-016-2990-25-015C,EPIC Academy High School         ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,57.5,92.9,,90.3,1.8,498.0,17.8,0.0,63.3,12.7,35.7,5.2,13.7,95.6,0.4,,100.0,46.6,20.0,16.3
15-016-2990-25-016C,Urban Prep Chtr West Campus HS   ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,43.2,96.2,,93.9,0.4,272.0,10.2,0.0,98.9,0.0,0.7,4.8,14.3,87.1,0.0,,100.0,54.5,8.1,1.6
15-016-2990-25-019C,Legal Prep Academy Charter HS    ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,61.9,91.7,,88.9,0.0,305.0,17.4,0.0,99.0,0.0,0.7,9.2,13.1,96.7,0.0,,0.0,20.5,1.7,1.7
15-016-2990-25-020C,IJLA Charter High School         ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,24.4,,62.5,48.1,129.0,65.0,0.0,0.8,24.0,97.7,24.0,16.3,96.1,0.8,,100.0,15.8,13.3,6.7
15-016-2990-25-022C,Intrinsic Charter High School    ,City of Chicago SD 299           ,Cook       ,High School,7 - 12,2017,47.2,94.7,,94.0,0.2,986.0,5.1,1.8,5.4,12.1,87.1,2.8,10.1,83.5,4.8,,100.0,67.9,29.0,19.7
15-016-2990-25-027C,CICS - Quest North Campus        ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,91.5,98.4,,81.9,2.5,285.0,20.6,0.4,76.1,6.0,19.3,18.9,18.2,94.0,2.8,,0.0,,7.8,3.9
15-016-2990-25-028C,Noble St Chtr-Pritzker Col Prep  ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,29.2,99.0,,94.7,0.2,1007.0,3.7,0.1,2.8,9.7,95.9,1.1,4.6,94.3,0.5,,0.0,,39.8,36.1
15-016-2990-25-029C,Noble St Chtr Rauner College Prep,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,53.2,99.2,,93.2,0.3,631.0,5.0,0.3,13.3,10.3,81.9,4.6,7.9,84.8,2.5,,0.0,,30.3,31.1
15-016-2990-25-030C,Noble St Chtr-Rowe-Clark MS Acad ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,63.2,93.4,,88.6,1.7,545.0,12.8,0.4,73.6,7.9,24.8,11.4,12.8,94.3,0.2,,0.0,,25.2,13.9
15-016-2990-25-031C,Noble St Chtr-Golder College Prep,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,50.9,97.8,,93.1,0.9,650.0,8.7,0.6,10.5,9.8,86.0,5.7,5.4,92.8,1.7,,0.0,,31.8,30.4
15-016-2990-25-032C,Noble St Chtr-Comer College Prep ,City of Chicago SD 299           ,Cook       ,High School,6 - 12,2017,44.5,97.8,,93.4,0.2,1140.0,5.5,0.0,95.8,0.6,3.6,6.3,8.8,87.4,0.0,,0.0,,26.5,24.0
15-016-2990-25-033C,Noble St Chtr-UIC College Prep   ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,17.7,94.1,,94.2,0.3,904.0,2.9,3.1,25.8,7.3,68.6,3.2,5.1,86.2,1.9,,0.0,,56.9,49.1
15-016-2990-25-034C,Noble St Chtr-Chicago Bulls Prep ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,43.2,98.3,,93.4,0.4,1142.0,5.3,0.3,31.0,6.8,68.0,1.3,6.6,89.0,0.3,,0.0,,39.3,46.3
15-016-2990-25-035C,Noble St Chtr-Muchin College Prep,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,18.4,99.0,,95.5,0.0,943.0,3.1,4.8,26.2,5.5,67.4,3.8,4.8,85.3,1.0,,0.0,,39.5,34.1
15-016-2990-25-036C,Noble St Chtr-Johnson Colg Prep  ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,55.7,96.1,,87.5,2.2,859.0,14.7,0.5,96.5,0.9,2.2,16.2,10.2,96.6,0.1,,0.0,,25.2,14.7
15-016-2990-25-037C,Noble St Chtr-Hansberry Prep Slvr,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,57.7,97.3,,90.1,0.1,705.0,14.3,0.0,98.2,0.9,1.4,7.0,10.2,86.5,0.0,,0.0,,20.8,11.7
15-016-2990-25-038C,Noble St Chtr-DRW Trading Col    ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,77.6,94.9,,88.5,0.0,541.0,16.3,0.0,93.3,0.6,5.7,14.2,15.7,95.6,0.4,,0.0,,15.9,11.6
15-016-2990-25-039C,Noble St Chtr-Butler - Crimson   ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,45.3,97.1,,93.1,0.0,585.0,12.2,0.0,96.8,1.5,2.7,20.2,11.5,94.5,0.0,,0.0,,18.1,12.9
15-016-2990-25-040C,Noble St Chtr-Baker Campus       ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,70.4,96.7,,88.8,2.1,387.0,17.5,0.3,86.8,4.1,10.1,24.0,11.9,96.1,0.8,,0.0,,23.9,18.5
15-016-2990-25-041C,Noble St Chtr-Noble Campus       ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,42.5,96.5,,94.2,0.9,636.0,4.8,0.5,9.3,7.9,87.7,1.1,5.3,87.6,1.6,,0.0,,34.8,43.9
15-016-2990-25-042C,Noble St Chtr-ITW Speer Acad     ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,43.6,,,92.5,0.4,812.0,8.1,0.2,12.7,12.8,84.5,0.2,7.1,90.1,1.8,,0.0,,27.6,31.7
15-016-2990-25-043C,Noble St Chtr-The Noble Academy  ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,34.4,,,93.7,0.0,346.0,12.6,2.9,44.8,6.9,46.5,3.2,9.2,86.1,2.6,,0.0,,46.3,41.3
15-016-2990-25-044C,Noble St Chtr - Mansueto         ,City of Chicago SD 299           ,Cook       ,High School,9 - 10,2017,48.9,,,91.7,0.0,173.0,13.0,4.6,1.7,21.4,91.9,2.9,11.0,92.5,1.2,,0.0,,,
15-016-2990-25-046C,North Lawndale Prep Chtr-Collins ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,70.7,91.3,,90.1,1.5,394.0,15.4,0.0,99.2,0.0,0.5,20.1,8.9,98.5,0.0,,0.0,,0.0,2.7
15-016-2990-25-049C,Acero Chtr  Sor Juana Ines de la ,City of Chicago SD 299           ,Cook       ,High School,1 - 11,2017,24.7,87.5,,96.0,1.0,731.0,9.0,1.9,20.2,41.2,74.8,0.5,7.8,96.2,1.2,,0.0,,17.1,16.4
15-016-2990-25-050C,Perspectives Chtr - Joslin Campus,City of Chicago SD 299           ,Cook       ,High School,6 - 12,2017,37.1,98.0,,92.8,0.4,397.0,8.1,0.8,83.6,2.8,12.6,3.8,11.8,85.1,1.0,,0.0,,17.3,7.2
15-016-2990-25-051C,Perspectives Chtr - Leadership Ac,City of Chicago SD 299           ,Cook       ,High School,6 - 12,2017,46.7,97.6,,91.7,0.0,477.0,10.3,0.0,97.7,0.0,0.8,4.6,12.4,96.0,0.0,,0.0,,10.0,6.5
15-016-2990-25-0526,Chicago Vocational Career Acad HS,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,96.8,91.1,,83.7,0.4,901.0,21.9,0.0,97.1,1.8,2.3,12.8,19.1,97.2,0.0,,43.7,87.0,4.7,2.1
15-016-2990-25-052C,Perspectives Chtr - HS of Tech   ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,45.9,100.0,,91.4,0.5,375.0,14.8,0.0,97.3,0.5,1.6,4.0,13.1,92.5,0.0,,0.0,,10.7,6.0
15-016-2990-25-0531,Dunbar Vocational Career Acad HS ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,95.2,96.1,,84.2,2.5,554.0,24.7,0.0,97.5,1.6,2.2,21.5,16.1,99.5,0.4,,67.0,79.4,0.9,0.0
15-016-2990-25-0533,Jones College Prep High School   ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,20.5,94.6,,92.3,0.2,1817.0,1.3,12.5,15.8,1.2,28.4,0.7,3.6,41.0,38.9,,69.4,92.6,87.3,82.1
15-016-2990-25-0534,Prosser Career Academy HS        ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,53.2,96.5,,88.6,0.4,1375.0,4.3,0.4,18.8,7.0,76.5,3.6,4.5,93.1,3.1,,50.7,91.2,14.1,9.9
15-016-2990-25-0536,Richards Career Academy HS       ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,95.6,,76.9,2.0,250.0,22.6,0.0,42.8,27.6,56.0,12.8,16.8,91.2,0.4,,57.9,73.3,0.0,0.0
15-016-2990-25-0537,Simeon Career Academy High School,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,51.2,98.3,,89.4,0.1,1319.0,10.4,0.0,98.5,0.1,1.0,5.3,5.2,91.7,0.1,,49.8,86.7,11.4,6.0
15-016-2990-25-053C,Perspectives Chtr -  IIT Campus  ,City of Chicago SD 299           ,Cook       ,High School,6 - 12,2017,68.7,90.4,,89.5,0.5,460.0,11.1,0.4,96.7,0.9,2.4,10.2,12.4,91.5,0.2,,0.0,,8.2,10.3
15-016-2990-25-0543,Corliss High School              ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,97.9,97.3,,79.0,0.3,368.0,24.1,0.0,99.2,0.0,0.5,2.7,22.0,96.7,0.0,,57.4,78.8,1.1,2.3
15-016-2990-25-0545,Clemente Community Academy HS    ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,75.4,91.3,,82.7,1.5,732.0,11.4,0.1,29.1,10.4,67.5,8.2,12.2,94.4,1.8,,80.6,70.6,6.3,4.7
15-016-2990-25-054C,YCCS-Scholastic Achievement HS   ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,40.3,,55.1,45.4,196.0,61.6,0.0,96.4,0.0,3.6,26.5,14.8,96.9,0.0,,0.0,,0.0,0.0
15-016-2990-25-055C,YCCS-McKinley-Lakeside Leadership,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,64.2,,61.9,33.6,211.0,70.1,0.0,97.2,0.5,2.8,21.8,21.3,99.1,0.0,,0.0,,0.0,0.0
15-016-2990-25-056C,YCCS-ASPIRA Pantoja Alt HS       ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,33.7,,59.4,66.2,195.0,72.0,0.5,3.6,20.5,93.8,4.1,18.5,100.0,1.0,,0.0,,2.6,0.0
15-016-2990-25-057C,YCCS-Assoc Hse El Cuarto Ano HS  ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,32.6,,62.3,49.4,172.0,66.1,0.0,26.2,7.0,70.9,32.6,19.8,99.4,1.7,,0.0,,8.3,0.0
15-016-2990-25-058C,YCCS-Austin Career Ed Cntr HS    ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,48.2,,70.4,62.2,148.0,68.9,0.0,92.6,1.4,6.8,21.6,15.5,98.6,0.7,,0.0,,10.0,0.0
15-016-2990-25-059C,YCCS-CCA Academy HS              ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,45.1,,59.4,44.2,217.0,67.2,0.0,99.1,0.0,0.5,16.1,24.4,99.1,0.0,,0.0,,2.0,0.0
15-016-2990-25-060C,YCCS-Progressive Leadership Acad ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,49.1,,49.6,40.2,184.0,65.7,0.0,98.9,0.0,0.5,33.7,16.3,97.8,0.0,,0.0,,0.0,0.0
15-016-2990-25-0616,Manley Career Academy High School,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,91.8,,73.9,0.0,170.0,33.3,0.0,95.9,1.8,3.5,16.5,22.4,94.7,0.0,,41.3,63.2,2.6,2.6
15-016-2990-25-0617,Curie Metropolitan High School   ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,59.9,85.5,,87.9,1.4,2937.0,8.7,3.0,12.5,10.3,81.5,1.5,5.1,93.2,2.4,,49.4,94.5,15.3,16.6
15-016-2990-25-061C,YCCS-Community Youth Dev Inst HS ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,32.3,,60.9,65.0,183.0,75.3,0.0,99.5,0.5,0.5,21.3,21.3,98.9,0.0,,0.0,,0.0,3.7
15-016-2990-25-062C,YCCS-Albizu Campus Puerto Rican  ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,48.7,,69.2,39.6,197.0,59.1,0.0,17.3,10.2,80.7,22.8,22.3,97.5,2.0,,0.0,,0.0,0.0
15-016-2990-25-063C,YCCS-Innovations of Arts Integr  ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,35.2,,47.3,57.7,426.0,69.4,0.5,87.8,1.9,8.5,32.2,22.3,93.2,1.9,,0.0,,0.0,0.0
15-016-2990-25-064C,YCCS-Jane Addams Alternative HS  ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,63.3,,83.0,45.2,208.0,62.5,1.0,33.7,4.8,62.0,12.0,13.0,98.6,1.4,,0.0,,0.0,0.0
15-016-2990-25-065C,YCCS-Latino Youth Alternative HS ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,27.1,,58.5,45.4,216.0,63.5,0.0,8.3,13.0,90.7,16.2,15.3,99.1,0.9,,0.0,,1.6,0.0
15-016-2990-25-066C,YCCS-Olive Harvey Mid College HS ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,26.7,,69.3,38.1,126.0,64.8,0.0,91.3,0.0,7.9,31.0,15.9,96.8,0.0,,0.0,,0.0,0.0
15-016-2990-25-067C,YCCS-Sullivan House Alt HS       ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,35.6,,74.0,4.3,329.0,35.1,0.0,94.2,0.0,5.5,41.3,21.3,99.7,0.0,,0.0,,0.0,0.0
15-016-2990-25-068C,YCCS-Truman Middle College HS    ,City of Chicago SD 299           ,Cook       ,High School,9 - 12,2017,100.0,21.0,,71.1,55.6,205.0,68.2,2.9,33.7,11.2,52.2,18.0,12.7,87.3,8.8,,0.0,,11.1,5.6
