school_id,school_name,district,county,school_type,grades_served,year,y_chronic_abs,y_grad_4yr,x_attendance_rate,x_dropout_rate,x_enrollment,x_mobility_rate,x_pct_asian,x_pct_black,x_pct_el,x_pct_hispanic,x_pct_homeless,x_pct_iep,x_pct_low_income,x_pct_white,x_suspension_rate,x_teacher_attendance,x_teacher_retention,x_ap_coursework,y_ela_prof,y_math_prof
05-016-2110-17-0006,Hoffman Estates High School,Township HSD 211,Cook,HIGH SCHOOL, 9 10 11 12,2020,14.0,95.5,95.0,1.7,1944,6.5,21.1,12.3,7.3,30.5,2.0,9.1,48.3,31.8,6.4,,97.1,759.0,,
05-016-2140-17-0002,Elk Grove High School,Township HSD 214,Cook,HIGH SCHOOL, 9 10 11 12,2020,9.9,93.8,95.8,0.8,1889,8.1,9.1,2.0,12.4,44.5,2.1,8.7,33.2,41.6,7.0,,96.1,873.0,,
05-016-2140-17-0004,John Hersey High School,Township HSD 214,Cook,HIGH SCHOOL, 9 10 11 12,2020,5.5,96.4,96.6,0.8,1943,3.7,10.3,1.6,3.1,14.5,0.4,10.3,11.3,70.4,2.3,,96.9,975.0,,
05-016-2140-17-0005,Prospect High School,Township HSD 214,Cook,HIGH SCHOOL, 9 10 11 12,2020,5.4,96.2,96.6,0.8,2081,4.2,7.3,1.2,1.3,13.5,0.2,7.4,7.2,74.1,0.4,,94.0,1185.0,,
05-016-2140-17-0006,Wheeling High School,Township HSD 214,Cook,HIGH SCHOOL, 9 10 11 12,2020,14.9,93.3,94.7,2.6,1706,6.8,6.3,2.4,17.4,64.1,5.2,12.5,38.3,25.6,9.7,,95.2,756.0,,
05-016-2140-17-0007,Rolling Meadows High School,Township HSD 214,Cook,HIGH SCHOOL, 9 10 11 12,2020,11.8,91.3,95.4,1.4,1881,8.5,7.4,3.2,9.3,37.3,1.3,9.0,22.3,48.8,7.0,,93.0,868.0,,
05-016-2140-17-0008,Buffalo Grove High School,Township HSD 214,Cook,HIGH SCHOOL, 9 10 11 12,2020,10.2,93.1,95.9,0.8,1921,3.9,9.6,1.7,10.2,29.9,1.1,10.8,17.0,55.6,2.8,,96.4,1070.0,,
05-016-2190-17-0002,Niles North High School,Niles Twp HSD 219,Cook,HIGH SCHOOL, 9 10 11 12,2020,20.6,90.2,93.0,2.2,2101,4.9,35.5,7.7,8.7,15.2,0.8,12.7,32.9,37.0,4.6,,94.4,888.0,,
05-016-2190-17-0003,Niles West High School,Niles Twp HSD 219,Cook,HIGH SCHOOL, 9 10 11 12,2020,23.5,94.7,92.4,2.0,2465,4.5,33.5,4.5,7.9,13.1,0.6,8.6,29.0,44.7,4.0,,93.7,1002.0,,
05-016-2250-17-0001,Glenbrook North High School,Northfield Twp HSD 225,Cook,HIGH SCHOOL, 9 10 11 12,2020,8.5,96.9,95.4,1.0,2040,1.6,16.1,0.4,1.3,5.9,0.1,14.1,5.0,72.8,0.9,,94.9,616.0,,
05-016-2250-17-0002,Glenbrook South High School,Northfield Twp HSD 225,Cook,HIGH SCHOOL, 9 10 11 12,2020,15.8,96.8,93.9,0.9,3122,2.0,17.8,1.5,4.8,13.1,0.4,10.8,18.0,62.0,2.8,,95.5,964.0,,
06-016-2000-13-0001,Oak Park & River Forest High Sch,Oak Park - River Forest SD 200,Cook,HIGH SCHOOL, 9 10 11 12,2020,19.0,95.2,93.1,2.6,3393,6.2,3.8,18.2,0.5,12.6,0.6,16.4,17.8,56.9,5.9,,92.4,1188.0,,
06-016-2010-17-0001,J Sterling Morton East High Sch,J S Morton HSD 201,Cook,HIGH SCHOOL, 10 11 12,2020,20.7,84.6,93.6,5.8,3462,8.6,0.2,1.5,23.1,95.6,2.1,8.0,88.7,1.7,25.0,,90.8,1256.0,,
06-016-2010-17-0002,J Sterling Morton West High Sch,J S Morton HSD 201,Cook,HIGH SCHOOL, 9 10 11 12,2020,16.6,81.2,94.2,4.4,3522,6.5,1.4,6.2,11.2,82.9,1.2,16.6,80.4,8.1,17.8,,90.1,1137.0,,
06-016-2010-17-0003,J Sterling Morton Freshman Cntr,J S Morton HSD 201,Cook,HIGH SCHOOL, 9,2020,11.2,0.0,95.6,1.9,1066,5.3,,1.6,28.5,96.2,1.3,8.2,93.6,1.9,9.4,,87.0,136.0,,
06-016-2040-17-0001,Lyons Twp High Sch,Lyons Twp HSD 204,Cook,HIGH SCHOOL, 9 10 11 12,2020,6.1,93.8,96.6,1.5,3990,2.4,2.4,3.3,2.2,20.8,0.6,11.1,11.3,71.7,3.4,,96.2,1323.0,,
06-016-2080-17-0001,Riverside Brookfield Twp HS,Riverside-Brookfield Twp SD 208,Cook,HIGH SCHOOL, 9 10 11 12,2020,9.6,95.1,95.8,1.9,1636,3.2,2.3,4.6,4.2,36.7,1.1,12.3,11.3,52.9,11.4,,96.3,682.0,,
06-016-2090-17-0001,Proviso East High School,Proviso Twp HSD 209,Cook,HIGH SCHOOL, 9 10 11 12,2020,74.1,76.9,80.0,8.3,1616,11.9,0.2,39.9,16.6,58.3,2.8,14.0,70.3,1.1,10.3,,77.2,107.0,,
06-016-2090-17-0002,Proviso West High School,Proviso Twp HSD 209,Cook,HIGH SCHOOL, 9 10 11 12,2020,65.9,83.9,82.3,6.2,1794,11.4,1.9,40.1,15.3,55.1,2.6,15.7,51.6,1.6,10.8,,78.0,268.0,,
06-016-2090-17-0003,Proviso Math and Science Academy,Proviso Twp HSD 209,Cook,HIGH SCHOOL, 9 10 11 12,2020,29.0,100.0,92.4,0.0,834,1.5,4.3,21.1,0.5,67.4,,1.3,47.8,5.0,0.0,,79.1,382.0,,
06-016-2120-16-0001,East Leyden High School,Leyden CHSD 212,Cook,HIGH SCHOOL, 9 10 11 12,2020,15.9,88.1,94.0,3.2,1792,13.5,4.1,1.7,16.3,54.1,0.9,10.0,54.5,38.6,8.8,,92.6,601.0,,
06-016-2120-16-0002,West Leyden High School,Leyden CHSD 212,Cook,HIGH SCHOOL, 9 10 11 12,2020,15.1,85.7,94.8,4.6,1604,15.3,1.9,1.6,9.2,81.5,0.9,15.5,59.5,13.3,10.4,,93.8,434.0,,
06-016-2340-16-0001,Ridgewood Comm High School,Ridgewood CHSD 234,Cook,HIGH SCHOOL, 9 10 11 12,2020,10.6,95.0,95.5,1.4,848,5.9,7.3,0.4,8.0,24.8,0.5,10.3,28.5,65.6,3.9,,90.3,229.0,,
06-016-4010-26-0001,Elmwood Park High School,Elmwood Park CUSD 401,Cook,HIGH SCHOOL, 9 10 11 12,2020,19.8,85.8,93.7,4.9,963,8.5,2.5,2.3,9.0,53.7,0.2,10.4,45.6,40.0,22.3,,88.5,251.0,,
07-016-2050-17-0001,Thornton Township High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL, 9 10 11 12,2020,31.9,84.0,91.3,8.1,1569,19.4,1.5,71.8,12.2,25.9,2.9,10.6,63.2,0.2,10.2,,85.9,113.0,,
07-016-2050-17-0002,Thornridge High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL, 9 10 11 12,2020,25.4,68.3,93.0,8.7,1038,22.0,,96.5,3.9,2.8,1.5,16.1,50.5,0.1,33.1,,88.2,22.0,,
07-016-2050-17-0003,Thornwood High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL, 9 10 11 12,2020,17.0,83.4,94.4,4.3,1844,16.1,0.1,82.6,5.3,12.8,2.8,15.1,64.4,1.6,1.0,,93.1,94.0,,
07-016-2060-17-0001,Bloom High School,Bloom Twp HSD 206,Cook,HIGH SCHOOL, 9 10 11 12,2020,21.4,90.8,93.6,3.9,1562,17.4,0.1,38.0,22.2,55.0,0.3,14.4,83.2,2.5,51.5,,88.7,360.0,,
07-016-2060-17-0002,Bloom Trail High School,Bloom Twp HSD 206,Cook,HIGH SCHOOL, 9 10 11 12,2020,21.5,84.9,93.4,5.3,1180,20.2,0.4,54.4,6.9,25.2,0.5,18.8,80.6,14.1,46.1,,87.7,295.0,,
07-016-2100-17-0001,Lemont Twp High School,Lemont Twp HSD 210,Cook,HIGH SCHOOL, 9 10 11 12,2020,8.4,95.3,95.8,1.4,1378,2.1,4.6,0.9,2.6,11.2,0.1,9.9,10.7,81.1,2.2,,95.5,524.0,,
07-016-2150-17-0001,Thornton Fractnl No High School,Thornton Fractional Twp HSD 215,Cook,HIGH SCHOOL, 9 10 11 12,2020,11.8,86.8,95.6,7.7,1331,8.7,0.2,65.2,10.6,31.8,2.4,15.6,77.4,1.6,43.9,,88.7,101.0,,
07-016-2150-17-0002,Thornton Fractnl So High School,Thornton Fractional Twp HSD 215,Cook,HIGH SCHOOL, 9 10 11 12,2020,6.4,85.8,96.6,3.8,1874,7.3,0.8,63.3,4.3,22.6,2.6,12.4,61.0,10.5,18.2,,93.9,205.0,,
07-016-2170-16-0001,Argo Community High School,Argo CHSD 217,Cook,HIGH SCHOOL, 9 10 11 12,2020,15.4,88.4,94.5,2.9,1934,7.0,1.4,11.3,12.5,51.8,1.2,11.0,62.5,32.1,11.3,,96.7,365.0,,
07-016-2180-16-0001,DD Eisenhower High Sch (Campus),CHSD 218,Cook,HIGH SCHOOL, 9 10 11 12,2020,23.4,81.9,92.6,4.0,1789,7.8,0.4,29.1,11.5,61.3,1.9,18.7,79.3,7.5,19.8,,93.5,330.0,,
07-016-2180-16-0004,H L Richards High Sch(Campus),CHSD 218,Cook,HIGH SCHOOL, 9 10 11 12,2020,17.8,86.6,93.9,3.7,1609,7.2,2.2,24.4,11.6,24.9,0.7,14.7,60.3,45.0,9.5,,92.9,371.0,,
07-016-2180-16-0007,A B Shepard High Sch (Campus),CHSD 218,Cook,HIGH SCHOOL, 9 10 11 12,2020,15.4,86.5,94.3,2.5,1779,5.6,1.3,23.6,4.4,30.4,1.5,16.1,57.8,42.3,10.9,,94.1,419.0,,
07-016-2200-17-0001,Reavis High School,Reavis Twp HSD 220,Cook,HIGH SCHOOL, 9 10 11 12,2020,5.1,93.6,96.8,2.1,1907,4.9,2.1,1.8,15.6,25.7,0.8,11.9,47.9,68.5,9.4,,93.4,190.0,,
07-016-2270-17-0001,Rich East Campus High School,Rich Twp HSD 227,Cook,HIGH SCHOOL, 9 10 11 12,2020,20.8,81.7,92.1,4.4,807,16.2,,85.0,2.4,9.5,0.1,20.8,80.3,2.9,17.1,,56.6,114.0,,
07-016-2270-17-0002,Rich Township High School,Rich Twp HSD 227,Cook,HIGH SCHOOL, 9 10 11 12,2020,23.0,81.6,92.0,4.3,1012,16.1,0.5,90.7,1.8,5.5,1.0,14.3,69.4,1.4,11.0,,59.3,310.0,,
07-016-2270-17-0003,Rich South Campus High School,Rich Twp HSD 227,Cook,HIGH SCHOOL, 9 10 11 12,2020,21.3,81.9,91.4,3.7,848,16.2,0.7,82.8,5.9,11.4,3.8,14.9,76.1,1.5,7.8,,80.1,151.0,,
07-016-2280-16-0001,Bremen High School,Bremen CHSD 228,Cook,HIGH SCHOOL, 9 10 11 12,2020,28.3,87.7,91.1,3.1,1418,7.6,1.0,23.5,13.0,58.3,1.4,13.8,33.3,13.5,0.0,,92.9,492.0,,
07-016-2280-16-0002,Tinley Park High School,Bremen CHSD 228,Cook,HIGH SCHOOL, 9 10 11 12,2020,37.9,87.9,88.9,2.9,1003,10.2,3.9,25.6,2.3,21.0,1.3,8.9,28.4,43.5,0.0,,94.0,285.0,,
07-016-2280-16-0003,Hillcrest High School,Bremen CHSD 228,Cook,HIGH SCHOOL, 9 10 11 12,2020,64.8,74.2,82.1,5.7,1146,19.6,0.1,90.7,0.9,4.7,4.9,13.9,57.1,0.3,18.0,,93.2,217.0,,
07-016-2280-16-0004,Oak Forest High School,Bremen CHSD 228,Cook,HIGH SCHOOL, 9 10 11 12,2020,26.7,90.6,91.2,1.3,1402,9.9,4.8,13.1,7.3,24.3,1.7,13.0,27.7,52.8,0.0,,92.7,364.0,,
07-016-2290-16-0001,Oak Lawn Comm High School,Oak Lawn CHSD 229,Cook,HIGH SCHOOL, 9 10 11 12,2020,9.6,95.0,96.1,2.3,1842,5.2,1.3,6.2,8.4,34.1,0.6,12.2,42.6,56.9,0.0,,94.6,234.0,,
07-016-2300-13-0001,Carl Sandburg High School,Cons HSD 230,Cook,HIGH SCHOOL, 9 10 11 12,2020,2.9,95.9,97.2,1.0,2844,3.1,6.4,5.7,4.3,11.9,0.9,11.6,15.6,73.1,0.0,,95.6,1336.0,,
07-016-2300-13-0002,Amos Alonzo Stagg High School,Cons HSD 230,Cook,HIGH SCHOOL, 9 10 11 12,2020,6.0,96.4,96.5,1.8,2347,6.3,3.2,3.9,9.1,17.5,1.1,11.5,35.5,73.0,7.3,,95.6,704.0,,
07-016-2300-13-0003,Victor J Andrew High School,Cons HSD 230,Cook,HIGH SCHOOL, 9 10 11 12,2020,5.5,96.2,96.7,1.1,2246,3.6,5.6,4.8,3.2,12.9,0.7,11.5,19.8,73.5,0.0,,96.1,752.0,,
07-016-2310-16-0001,Evergreen Park High School,Evergreen Park CHSD 231,Cook,HIGH SCHOOL, 9 10 11 12,2020,5.9,95.2,96.5,0.8,819,5.3,0.6,32.0,3.5,25.3,1.2,14.3,33.9,38.7,25.2,,95.2,110.0,,
07-016-2330-16-0001,Homewood-Flossmoor High School,Homewood Flossmoor CHSD 233,Cook,HIGH SCHOOL, 9 10 11 12,2020,14.5,95.3,94.0,2.5,2796,4.7,0.6,69.7,0.9,7.6,2.3,11.3,18.9,17.2,8.7,,93.2,825.0,,
07-016-9010-25-001C,Southland College Prep Charter High School,Southland College Prep Charter High School,Cook,CHARTER SCH, 9 10 11 12,2020,5.9,98.5,96.9,0.5,557,1.7,0.4,91.4,1.1,4.7,0.7,9.3,44.9,1.3,0.6,,82.1,99.0,,
15-016-2990-25-0001,Amundsen High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,18.6,87.2,93.7,2.2,1382,5.9,9.6,10.1,9.6,55.4,0.7,15.4,69.2,21.2,7.3,,90.1,45.0,,
15-016-2990-25-0003,Bogan High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,38.5,54.5,88.9,12.7,734,19.3,,63.9,11.4,35.0,4.5,19.1,88.4,0.5,14.0,,77.8,0.0,,
15-016-2990-25-0006,Carver Military Academy HS,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,12.9,93.8,94.6,1.3,479,4.3,,35.5,5.2,63.0,4.6,6.5,90.4,1.3,1.9,,89.5,55.0,,
15-016-2990-25-0011,Farragut Career Academy HS,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,46.3,61.5,87.3,10.2,560,20.0,,11.3,30.0,87.0,3.8,26.1,99.5,1.8,0.0,,85.5,17.0,,
15-016-2990-25-0012,Fenger Academy High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,45.9,56.3,87.3,9.1,261,19.8,,97.7,,1.1,53.6,17.2,95.4,,64.1,,83.8,0.0,,
15-016-2990-25-0013,Foreman High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,47.3,65.7,85.9,7.0,704,20.1,0.4,18.2,37.1,76.7,2.0,22.7,93.0,4.0,46.5,,79.8,15.0,,
15-016-2990-25-0014,Back of The Yards IB HS,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,13.1,98.5,95.0,0.7,1069,2.2,2.8,3.0,13.2,92.5,0.6,7.2,93.5,1.0,0.1,,83.0,388.0,,
15-016-2990-25-0015,Gage Park High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,42.8,40.0,86.4,12.4,320,20.1,,32.8,30.3,66.3,22.8,21.6,98.4,0.3,20.4,,76.9,53.0,,
15-016-2990-25-0016,Harlan Community Academy HS,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,41.5,59.7,88.2,10.0,300,31.3,,98.0,0.3,1.7,22.3,25.0,96.0,,18.4,,73.7,0.0,,
15-016-2990-25-0017,Harper High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 12,2020,12.5,75.8,93.5,2.1,48,3.8,,95.8,2.1,4.2,8.3,27.1,93.8,,56.7,,73.3,0.0,,
15-016-2990-25-0019,Hirsch Metropolitan High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,51.7,35.0,83.2,11.4,95,38.7,,96.8,2.1,1.1,17.9,35.8,94.7,,14.6,,81.8,1.0,,
15-016-2990-25-0020,Hubbard High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,26.7,76.8,91.9,4.9,1626,8.6,0.1,6.0,20.6,91.3,1.5,13.6,95.3,2.0,21.9,,93.4,407.0,,
15-016-2990-25-0021,Hyde Park Academy High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,37.5,73.0,90.4,6.9,725,16.5,,99.0,1.1,0.6,3.7,19.7,99.0,,31.9,,90.5,43.0,,
15-016-2990-25-0022,Thomas Kelly College Preparatory,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,26.0,73.5,92.7,6.2,1775,13.7,13.5,3.8,32.2,79.7,2.1,18.1,93.6,2.0,6.2,,89.5,168.0,,
15-016-2990-25-0023,Kelvyn Park High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 7 8 9 10 11 12,2020,37.1,64.1,88.6,6.5,410,16.6,,7.3,35.1,89.8,2.0,22.9,97.3,1.7,0.0,,71.2,56.0,,
15-016-2990-25-0024,Kennedy High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,21.1,78.6,92.8,5.2,1544,8.9,0.8,2.1,11.9,76.5,1.0,18.1,69.5,18.9,0.3,,92.5,213.0,,
15-016-2990-25-0025,Kenwood Academy High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 7 8 9 10 11 12,2020,13.8,95.1,94.6,2.1,2029,3.9,2.3,85.8,1.3,4.9,2.1,5.9,57.7,4.6,13.8,,89.8,400.0,,
15-016-2990-25-0026,Lake View High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,28.3,89.1,91.0,3.6,1295,9.5,3.2,10.0,9.9,71.1,1.4,17.8,76.6,11.7,5.5,,89.5,254.0,,
15-016-2990-25-0027,Lane Technical High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 7 8 9 10 11 12,2020,6.7,97.7,96.2,0.7,4500,1.7,10.3,7.5,1.1,38.7,0.3,4.4,40.7,39.3,0.0,,93.4,3247.0,,
15-016-2990-25-0029,Marshall Metropolitan High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,55.9,50.4,84.1,13.2,247,29.2,,98.0,0.8,2.0,15.8,26.7,99.6,,22.9,,72.4,22.0,,
15-016-2990-25-0030,Mather High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,23.9,76.7,92.4,5.0,1525,11.1,26.0,14.0,27.6,42.0,1.6,15.3,86.4,15.3,5.0,,90.5,355.0,,
15-016-2990-25-0031,Morgan Park High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 7 8 9 10 11 12,2020,35.1,83.7,90.2,4.5,1123,9.6,,97.4,0.4,1.5,4.0,13.3,84.0,0.4,4.9,,86.8,84.0,,
15-016-2990-25-0034,Phillips Academy High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,52.9,63.6,86.4,9.0,599,25.6,,97.2,0.5,1.5,1.8,17.9,96.2,0.2,61.5,,85.7,56.0,,
15-016-2990-25-0035,Roosevelt High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,25.2,73.9,92.5,6.3,976,13.9,7.6,11.6,36.4,72.8,0.9,20.6,94.0,5.9,24.3,,92.5,97.0,,
15-016-2990-25-0036,Schurz High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,35.1,74.7,89.8,5.6,1533,11.8,1.8,8.8,24.3,82.0,2.9,20.9,89.9,5.5,4.8,,88.3,178.0,,
15-016-2990-25-0037,Senn High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,20.1,80.5,93.6,3.3,1551,8.3,17.0,24.1,18.1,42.1,0.6,12.2,77.0,13.1,1.8,,90.0,246.0,,
15-016-2990-25-0039,King College Prep High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,14.7,97.3,94.7,2.7,483,5.8,0.4,95.4,1.9,2.7,7.7,12.2,83.0,0.2,2.0,,87.0,245.0,,
15-016-2990-25-0041,Steinmetz College Prep HS,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,36.7,68.0,89.8,6.1,1218,12.3,2.6,16.7,24.3,71.9,4.4,18.1,87.4,6.7,34.6,,93.0,161.0,,
15-016-2990-25-0042,Sullivan High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,35.0,74.4,89.6,7.4,641,14.1,14.5,35.7,46.0,36.0,7.8,24.3,92.7,7.6,0.0,,83.5,22.0,,
15-016-2990-25-0043,Taft High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 7 8 9 10 11 12,2020,17.2,82.6,93.7,3.6,3655,8.9,7.8,2.5,9.7,40.5,0.4,12.1,51.7,45.6,4.4,,94.3,817.0,,
15-016-2990-25-0044,Tilden Career Communty Academy HS,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,48.8,42.2,85.7,13.6,194,24.4,2.6,42.3,18.6,44.3,24.2,30.9,95.4,10.8,5.6,,82.0,9.0,,
15-016-2990-25-0046,Von Steuben Metro Science HS,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,10.1,99.5,95.3,1.7,1715,3.1,15.0,10.1,4.4,54.8,0.3,6.5,67.5,17.4,0.9,,93.1,567.0,,
15-016-2990-25-0047,Lincoln Park High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,16.8,88.8,94.0,2.4,2192,5.0,11.5,20.9,2.8,32.8,1.0,9.1,47.5,30.4,1.3,,89.7,723.0,,
15-016-2990-25-0048,Washington G High School,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,27.0,75.9,91.7,4.0,1445,8.1,0.2,4.7,16.6,88.9,1.9,16.2,85.7,4.6,17.3,,89.7,285.0,,
15-016-2990-25-0049,Wells Community Academy HS,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,39.6,74.7,89.4,8.0,369,18.9,0.8,48.8,13.6,45.0,9.5,25.5,91.6,4.3,26.3,,81.1,96.0,,
15-016-2990-25-0052,Crane Medical Prep HS,City of Chicago SD 299,Cook,HIGH SCHOOL, 9 10 11 12,2020,28.2,91.2,91.8,2.2,415,9.2,0.7,79.3,1.7,18.1,2.2,8.2,85.8,1.0,18.1,,76.6,106.0,,
15-016-2990-25-0053,Disney II Magnet HS,City of Chicago SD 299,Cook,HIGH SCHOOL, 7 8 9 10 11 12,2020,19.0,96.2,93.5,1.3,773,2.8,3.5,20.1,4.3,52.0,2.8,11.3,55.4,21.0,10.8,,82.4,107.0,,
15-016-2990-25-010C,Urban Prep Chtr Acad Englewood HS,City of Chicago SD 299,Cook,CHARTER SCH, 9 10 11 12,2020,29.2,87.0,91.8,3.8,233,13.4,,100.0,,,6.0,24.9,82.0,,12.9,,0.0,0.0,,
15-016-2990-25-012C,IHSCA Charter High School,City of Chicago SD 299,Cook,CHARTER SCH, 9 10 11 12,2020,26.9,93.5,91.9,2.5,647,9.4,,1.5,33.7,97.7,2.0,19.3,97.7,0.2,14.8,,0.0,111.0,,
15-016-2990-25-013C,Urban Prep Chtr Acad Bronzeville HS,City of Chicago SD 299,Cook,CHARTER SCH, 9 10 11 12,2020,7.7,89.3,97.2,3.8,300,10.5,0.3,98.3,,0.3,4.0,26.3,82.7,0.3,16.8,,0.0,86.0,,
15-016-2990-25-015C,EPIC Academy High School,City of Chicago SD 299,Cook,CHARTER SCH, 9 10 11 12,2020,24.4,74.1,91.8,5.1,519,11.4,,62.6,13.7,33.1,7.5,19.8,95.0,0.8,31.4,,0.0,32.0,,
15-016-2990-25-019C,Legal Prep Academy Charter HS,City of Chicago SD 299,Cook,CHARTER SCH, 9 10 11 12,2020,39.8,87.0,89.3,1.8,300,24.4,,99.3,,0.3,12.7,20.7,94.0,,0.0,,53.3,15.0,,
15-016-2990-25-020C,IJLA Charter High School,City of Chicago SD 299,Cook,CHARTER SCH, 9 10 11 12,2020,78.5,46.2,76.1,19.3,97,74.5,,,29.9,100.0,27.8,15.5,94.8,,0.0,,55.6,0.0,,
15-016-2990-25-022C,Intrinsic Charter High School,City of Chicago SD 299,Cook,CHARTER SCH, 7 8 9 10 11 12,2020,5.5,97.0,96.3,1.0,1021,3.9,0.3,3.9,18.3,92.3,1.5,19.4,86.9,3.1,0.0,,45.0,208.0,,
15-016-2990-25-027C,CICS - Quest North Campus,City of Chicago SD 299,Cook,CHARTER SCH, 9 10 11 12,2020,58.7,86.7,84.5,6.2,146,20.2,0.7,90.4,1.4,6.2,29.5,23.3,87.0,1.4,0.0,,0.0,24.0,,
15-016-2990-25-028C,Noble St Chtr-Pritzker College Prep,City of Chicago SD 299,Cook,CHARTER SCH, 9 10 11 12,2020,7.4,94.0,96.5,2.2,976,2.6,0.1,3.8,16.4,94.8,1.6,11.1,94.6,0.9,1.7,,51.2,286.0,,
15-016-2990-25-029C,Noble St Chtr Rauner College Prep,City of Chicago SD 299,Cook,CHARTER SCH, 9 10 11 12,2020,17.8,93.8,94.3,5.1,622,11.0,0.2,22.5,13.5,73.5,2.3,16.1,83.4,2.6,1.9,,35.6,236.0,,
15-016-2990-25-030C,Noble St Chtr-Rowe-Clark MS Acad,City of Chicago SD 299,Cook,CHARTER SCH, 9 10 11 12,2020,26.4,86.2,92.6,2.0,416,9.9,,81.3,7.0,16.6,9.6,24.5,91.1,0.7,8.3,,77.6,137.0,,
15-016-2990-25-031C,Noble St Chtr-Golder College Prep,City of Chicago SD 299,Cook,CHARTER SCH, 9 10 11 12,2020,17.6,95.0,93.8,2.0,639,8.6,0.5,17.2,15.3,78.9,3.4,16.7,91.5,2.0,0.6,,87.7,257.0,,
15-016-2990-25-032C,Noble St Chtr-Comer College Prep,City of Chicago SD 299,Cook,CHARTER SCH, 6 7 8 9 10 11 12,2020,16.0,96.7,94.3,3.0,1151,4.9,0.1,97.0,1.0,2.2,10.6,16.0,81.1,,12.8,,72.4,231.0,,
15-016-2990-25-033C,Noble St Chtr-UIC College Prep,City of Chicago SD 299,Cook,CHARTER SCH, 9 10 11 12,2020,10.8,95.4,95.7,2.5,959,4.7,3.4,29.1,11.6,65.3,4.6,14.6,85.0,1.4,4.6,,79.4,261.0,,
15-016-2990-25-034C,Noble St Chtr-Chicago Bulls Prep,City of Chicago SD 299,Cook,CHARTER SCH, 9 10 11 12,2020,16.6,94.7,93.9,1.8,1167,6.2,0.5,32.2,11.5,65.6,2.0,16.0,87.7,0.6,9.3,,87.2,375.0,,
15-016-2990-25-035C,Noble St Chtr-Muchin College Prep,City of Chicago SD 299,Cook,CHARTER SCH, 9 10 11 12,2020,9.7,99.6,95.3,2.0,972,3.4,3.5,28.6,10.3,66.6,5.5,11.9,83.5,0.5,1.4,,79.0,433.0,,
15-016-2990-25-036C,Noble St Chtr-Johnson College Prep,City of Chicago SD 299,Cook,CHARTER SCH, 9 10 11 12,2020,31.7,92.7,91.4,6.1,630,13.9,,96.0,0.5,3.5,18.6,22.9,94.0,,4.9,,72.5,234.0,,
15-016-2990-25-037C,Noble St Chtr-Hansberry College Prep - Silver,City of Chicago SD 299,Cook,CHARTER SCH, 9 10 11 12,2020,14.2,97.2,95.2,3.6,491,8.3,,99.0,1.6,0.6,4.7,19.3,85.3,0.2,12.8,,76.1,0.0,,
