school,year,D_black_white,D_lowincome_notlowincome,D_white_hispanic
A B Shepard High Sch (Campus),2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
A B Shepard High Sch (Campus),2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
A B Shepard High Sch (Campus),2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
A B Shepard High Sch (Campus),2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
A B Shepard High Sch (Campus),2022,0.7965876587239,0.5284115178179017,0.6101835313650843
A B Shepard High Sch (Campus),2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
A B Shepard High Sch (Campus),2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
A B Shepard High Sch (Campus),2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
A B Shepard High Sch (Campus)    ,2016,0.7582594210265702,0.575559100801645,0.6026948148460517
A B Shepard High Sch (Campus)    ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
ASPIRA Charter - Early College,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
ASPIRA Charter - Early College Pr,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
ASPIRA Charter - Early College Prep HS,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
ASPIRA Charter - Early College Prep HS,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
ASPIRA Charter - Early College Prep HS,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
ASPIRA Charter - Early College Prep HS,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
ASPIRA Charter - Early College Prep HS,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
ASPIRA Charter - Early College Prep HS,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
ASPIRA Charter - Early College Prep HS,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
Acero Chtr  Sor Juana Ines de la ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
Acero Chtr Netrk -  Major Garcia ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
Acero Chtr Sch Network -  Majo,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
Acero Chtr Sch Network -  Major Hector P Garcia MD Campus,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
Acero Chtr Sch Network -  Major Hector P Garcia MD Campus,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
Acero Chtr Sch Network -  Major Hector P Garcia MD Campus,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
Acero Chtr Sch Network -  Major Hector P Garcia MD H S,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
Acero Chtr Sch Network -  Major Hector P Garcia MD H S,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
Acero Chtr Sch Network -  Major Hector P Garcia MD H S,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
Acero Chtr Sch Network -  Major Hector P Garcia MD H S,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
Acero Chtr Sch Network Victori,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
Acero Chtr Sch Network Victoria Soto Campus,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
Acero Chtr Sch Network Victoria Soto Campus,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
Acero Chtr Sch Network Victoria Soto Campus,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
Acero Chtr Sch Network Victoria Soto Campus,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
Acero Chtr Sch Network Victoria Soto Campus,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
Acero Chtr Sch Network Victoria Soto Campus,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
Acero Chtr Sch Network Victoria Soto Campus,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
Acero Chtr Sch Network- Sor Juana Ines de la Cruz K-12,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
Acero Chtr Sch Network- Sor Juana Ines de la Cruz K-12,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
Acero Chtr Sch Network- Sor Juana Ines de la Cruz K-12,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
Acero Chtr Sch Network- Sor Juana Ines de la Cruz K-12,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
Acero Chtr Sch Netwrk- Victoria  ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
Acero Chtr Sch Newtwork- Sor J,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
Acero Chtr Sch Newtwork- Sor Juana Ines de la Cruz,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
