x_POP20,School Name,district,county,school_type,grades_served,year,y_chronic_abs,y_ela_prof,y_grad_4yr,y_math_prof,x_ap_coursework,x_attendance_rate,x_dropout_rate,x_enrollment,x_mobility_rate,x_pct_asian,x_pct_black,x_pct_el,x_pct_hispanic,x_pct_homeless,x_pct_iep,x_pct_low_income,x_pct_white,x_suspension_rate,x_teacher_attendance,x_teacher_retention,x_D_black_white,x_D_lowincome_notlowincome,x_D_white_hispanic,x_median_hh_income,x_total_n_hh,x_hh_under_0.5_pov,x_hh_between_0.5_0.74_pov,x_hh_between_0.75_0.99_pov,x_hh_between_1.00_to_1.24_pov,x_hh_between_1.25_to_1.49_pov,x_hh_between_1.50_to_1.74_pov,x_hh_between_1.75_to_1.84_pov,x_hh_between_1.85_to_1.99_pov,x_hh_between_2.00_to_2.99_pov,x_hh_between_3.00_to_3.99_pov,x_hh_between_4.00_to_4.99_pov,x_hh_between_5.00_and_over_pov,x_pov_share_under_1_00,x_Urban,x_LILATracts_1And10,x_LILATracts_halfAnd10,x_LILATracts_1And20,x_LILATracts_Vehicle,x_LowIncomeTracts,x_LA1and10,x_LAhalfand10,x_LA1and20,x_transport_length
3936.0,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 10 - 12,2016,0.2,25.0,99.0,0.0,,94.7,0.1,3025.0,1.4,7.1,0.6,0.4,3.8,0.1,15.5,3.4,85.1,,90.8,89.7,0.7582594210265702,0.575559100801645,0.6026948148460517,240000.0,1019.0,21.0,0.0,5.0,0.0,9.0,10.0,0.0,0.0,27.0,62.0,42.0,843.0,0.025515211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3936.0,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 10 - 12,2017,0.1,87.6,98.2,79.3,,94.4,0.0,2960.0,1.2,7.4,0.6,0.3,3.8,0.1,15.2,3.5,84.9,,93.3,91.8,0.7865127144466507,0.6084814665314048,0.6303904112872264,250001.0,1057.0,21.0,0.0,0.0,0.0,8.0,16.0,7.0,0.0,33.0,58.0,36.0,878.0,0.0198675496688741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3936.0,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 10 - 12,2018,12.4,79.7,98.3,76.2,,94.7,0.0,2934.0,1.4,7.8,0.6,0.7,3.7,,15.0,3.7,83.8,,,92.9,0.7864616524779631,0.5877897656269258,0.6230274556540557,250001.0,1009.0,17.0,0.0,0.0,0.0,7.0,6.0,9.0,0.0,32.0,62.0,52.0,824.0,0.016848365,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3936.0,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 10 - 12,2019,10.8,81.1,98.2,80.0,837.0,94.9,0.8,2963.0,1.9,9.4,0.6,0.4,4.9,0.1,15.4,4.2,79.9,1.1,,94.5,0.7839074603594075,0.5542569409271805,0.6247704774800023,250001.0,1007.0,18.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,17.0,49.0,43.0,862.0,0.017874876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3936.0,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 10 - 12,2020,7.0,,97.5,,860.0,95.7,1.6,3034.0,2.3,9.9,0.6,0.5,6.9,0.1,15.5,3.3,78.0,3.5,,95.0,0.7873785595622814,0.5458890801078016,0.6231312056700935,250001.0,1018.0,10.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,9.0,42.0,64.0,876.0,0.009823183,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3936.0,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 10 - 12,2021,24.1,79.9,97.9,75.8,860.0,93.8,0.3,2998.0,2.2,9.6,0.4,0.6,6.9,,15.0,3.9,78.0,3.5,,95.1,0.7967067793961019,0.5492514836824691,0.6148661607598671,250001.0,1122.0,0.0,19.0,0.0,0.0,0.0,4.0,23.0,0.0,43.0,55.0,58.0,920.0,0.016934046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3936.0,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 10 - 12,2022,20.8,70.8,98.5,69.2,,92.9,,2960.0,2.4,9.7,0.6,0.4,7.2,,16.5,3.2,77.2,,,94.7,0.7965876587239,0.5284115178179017,0.6101835313650843,250001.0,1083.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,54.0,50.0,905.0,0.0193905817174515,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3936.0,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 10 - 12,2023,34.8,79.0,97.3,70.6,860.0,90.2,1.1,2821.0,2.0,9.9,0.6,0.9,7.8,,17.2,3.5,75.9,3.5,,94.0,0.7939227726308796,0.5118302351061063,0.6030007625551171,250001.0,1087.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,56.0,51.0,904.0,0.0174793008279668,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3936.0,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 10 - 12,2024,16.9,76.6,97.7,70.0,947.0,93.5,,2759.0,1.9,10.0,0.8,1.6,8.3,,16.8,3.6,75.3,2.1,80.4,93.1,0.7885703578630185,0.5226036612987716,0.5984771053748413,250001.0,1079.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,50.0,57.0,891.0,0.0185356811862835,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3936.0,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 10 - 12,2025,15.4,87.7,97.5,86.1,947.0,93.6,,2730.0,1.5,10.0,0.8,2.1,8.6,,16.4,4.9,73.3,2.1,85.3,93.0,0.7828371078077657,0.5053128806800504,0.5947474157648664,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2426.0,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 9,2016,0.1,65.3,,40.9,,96.3,0.0,966.0,2.8,8.0,0.7,0.7,3.7,0.0,16.3,3.3,82.9,,86.5,83.7,0.7582594210265702,0.575559100801645,0.6026948148460517,91750.0,597.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,29.0,98.0,53.0,380.0,0.050251256,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2426.0,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 9,2017,0.2,,,,,95.9,0.0,1037.0,1.1,9.1,0.7,1.4,4.2,0.1,15.3,2.8,80.6,,88.9,82.8,0.7865127144466507,0.6084814665314048,0.6303904112872264,88534.0,598.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30.0,88.0,50.0,387.0,0.060200669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2426.0,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 9,2018,6.0,,,,,95.7,0.0,991.0,2.5,9.8,,,5.2,,15.4,3.7,78.6,,,85.7,0.7864616524779631,0.5877897656269258,0.6230274556540557,93906.0,623.0,42.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,35.0,80.0,52.0,390.0,0.06741573,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2426.0,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 9,2019,5.7,,,,0.0,96.2,0.2,1015.0,1.6,9.5,0.6,0.9,5.1,0.1,14.5,2.6,78.9,1.2,,86.9,0.7839074603594075,0.5542569409271805,0.6247704774800023,98125.0,622.0,96.0,0.0,0.0,0.0,19.0,0.0,0.0,6.0,27.0,37.0,47.0,390.0,0.1543408360128617,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2426.0,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 9,2020,2.0,,,,0.0,98.0,3.2,1006.0,1.9,8.6,0.3,1.3,7.7,0.2,15.8,2.3,77.7,2.5,,88.4,0.7873785595622814,0.5458890801078016,0.6231312056700935,110025.0,678.0,111.0,0.0,0.0,0.0,18.0,0.0,0.0,5.0,27.0,82.0,62.0,373.0,0.163716814159292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2426.0,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 9,2021,3.2,,,,0.0,98.0,0.7,973.0,0.9,10.0,,,7.6,,14.4,2.1,76.2,2.5,,92.0,0.7967067793961019,0.5492514836824691,0.6148661607598671,105417.0,747.0,102.0,0.0,0.0,0.0,36.0,0.0,0.0,8.0,45.0,104.0,59.0,393.0,0.1365461847389558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2426.0,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 9,2022,11.0,,,,,95.1,,886.0,1.3,10.2,,,9.1,,18.5,2.8,74.5,,,93.3,0.7965876587239,0.5284115178179017,0.6101835313650843,110156.0,710.0,72.0,0.0,0.0,0.0,25.0,0.0,0.0,8.0,34.0,81.0,67.0,423.0,0.1014084507042253,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2426.0,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 9,2023,17.9,,,,0.0,93.5,1.9,915.0,1.6,9.1,,1.9,8.2,,16.5,3.3,75.2,2.5,,94.3,0.7939227726308796,0.5118302351061063,0.6030007625551171,105688.0,685.0,44.0,11.0,0.0,37.0,5.0,0.0,0.0,8.0,26.0,81.0,57.0,416.0,0.080291971,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2426.0,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 9 - 9,2024,7.3,,,,0.0,95.8,,941.0,,10.8,,2.4,6.9,,18.0,1.1,74.9,4.1,84.2,92.8,0.7885703578630185,0.5226036612987716,0.5984771053748413,121111.0,698.0,7.0,3.0,0.0,46.0,9.0,0.0,0.0,0.0,21.0,82.0,67.0,463.0,0.0143266475644699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2426.0,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,HIGH SCHOOL,Grade 9,2025,5.5,,,,0.0,95.7,,880.0,1.9,8.9,,2.5,8.6,,18.2,3.2,72.7,4.1,82.1,92.0,0.7828371078077657,0.5053128806800504,0.5947474157648664,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6503.0,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL,Grade 9 - 12,2016,5.3,51.2,93.1,16.6,,94.0,0.8,1930.0,7.8,26.8,4.6,11.5,21.2,1.0,12.1,46.4,45.2,,86.6,95.1,0.7582594210265702,0.575559100801645,0.6026948148460517,95368.0,1674.0,41.0,84.0,0.0,25.0,0.0,28.0,0.0,0.0,161.0,116.0,195.0,1024.0,0.074671446,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6503.0,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL,Grade 9 - 12,2017,8.3,40.5,91.3,35.6,,93.3,0.5,1854.0,6.8,32.2,4.7,12.4,22.7,1.1,12.8,46.1,36.6,,81.5,92.6,0.7865127144466507,0.6084814665314048,0.6303904112872264,102770.0,1603.0,53.0,56.0,0.0,27.0,0.0,16.0,0.0,0.0,110.0,90.0,178.0,1073.0,0.067997505,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6503.0,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL,Grade 9 - 12,2018,21.6,33.6,90.7,37.0,,92.6,0.5,1830.0,7.3,33.9,4.5,13.7,20.9,1.0,12.4,43.7,36.9,,,90.4,0.7864616524779631,0.5877897656269258,0.6230274556540557,103417.0,1542.0,20.0,44.0,14.0,0.0,0.0,17.0,0.0,0.0,119.0,148.0,153.0,1027.0,0.050583658,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6503.0,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL,Grade 9 - 12,2019,27.1,35.0,85.8,34.1,457.0,91.9,0.8,1852.0,9.9,33.0,5.0,14.7,20.4,1.2,11.8,41.6,38.3,9.8,,90.2,0.7839074603594075,0.5542569409271805,0.6247704774800023,113036.0,1576.0,21.0,41.0,11.0,0.0,13.0,23.0,0.0,59.0,54.0,126.0,109.0,1119.0,0.046319797,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
